Outlet_ID,SKU_ID,Month,Inventory_Units_Sold,Demand_Forecast_Next_Month_Units
OUT0001,SKU-0001-01,2023-01-01,1025.0,
OUT0001,SKU-0001-01,2023-02-01,812.0,
OUT0001,SKU-0001-01,2023-03-01,977.0,
OUT0001,SKU-0001-01,2023-04-01,1054.0,938.0
OUT0001,SKU-0001-01,2023-05-01,981.0,947.67
OUT0001,SKU-0001-01,2023-06-01,939.0,1004.0
OUT0001,SKU-0001-01,2023-07-01,870.0,991.33
OUT0001,SKU-0001-01,2023-08-01,1009.0,930.0
OUT0001,SKU-0001-01,2023-09-01,775.0,939.33
OUT0001,SKU-0001-01,2023-10-01,917.0,884.67
OUT0001,SKU-0001-01,2023-11-01,1100.0,900.33
OUT0001,SKU-0001-01,2023-12-01,1053.0,930.67
OUT0001,SKU-0001-01,2024-01-01,863.0,1023.33
OUT0001,SKU-0001-01,2024-02-01,1119.0,1005.33
OUT0001,SKU-0001-01,2024-03-01,1205.0,1011.67
OUT0001,SKU-0001-01,2024-04-01,991.0,1062.33
OUT0001,SKU-0001-01,2024-05-01,972.0,1105.0
OUT0001,SKU-0001-01,2024-06-01,964.0,1056.0
OUT0001,SKU-0001-01,2024-07-01,1024.0,975.67
OUT0001,SKU-0001-01,2024-08-01,880.0,986.67
OUT0001,SKU-0001-01,2024-09-01,884.0,956.0
OUT0001,SKU-0001-01,2024-10-01,910.0,929.33
OUT0001,SKU-0001-01,2024-11-01,727.0,891.33
OUT0001,SKU-0001-01,2024-12-01,813.0,840.33
OUT0001,SKU-0001-01,2025-01-01,873.0,816.67
OUT0001,SKU-0001-01,2025-02-01,829.0,804.33
OUT0001,SKU-0001-01,2025-03-01,891.0,838.33
OUT0001,SKU-0001-01,2025-04-01,940.0,864.33
OUT0001,SKU-0001-01,2025-05-01,919.0,886.67
OUT0001,SKU-0001-01,2025-06-01,1107.0,916.67
OUT0001,SKU-0001-01,2025-07-01,770.0,988.67
OUT0001,SKU-0001-01,2025-08-01,747.0,932.0
OUT0001,SKU-0001-01,2025-09-01,838.0,874.67
OUT0001,SKU-0001-01,2025-10-01,881.0,785.0
OUT0001,SKU-0001-01,2025-11-01,753.0,822.0
OUT0001,SKU-0001-01,2025-12-01,880.0,824.0
OUT0001,SKU-0001-01,2026-01-01,905.0,838.0
OUT0001,SKU-0001-01,2026-02-01,938.0,846.0
OUT0001,SKU-0001-01,2026-03-01,959.0,907.67
OUT0001,SKU-0001-01,2026-04-01,1026.0,934.0
OUT0002,SKU-0002-02,2023-01-01,656.0,
OUT0002,SKU-0002-02,2023-02-01,682.0,
OUT0002,SKU-0002-02,2023-03-01,784.0,
OUT0002,SKU-0002-02,2023-04-01,754.0,707.33
OUT0002,SKU-0002-02,2023-05-01,705.0,740.0
OUT0002,SKU-0002-02,2023-06-01,759.0,747.67
OUT0002,SKU-0002-02,2023-07-01,673.0,739.33
OUT0002,SKU-0002-02,2023-08-01,642.0,712.33
OUT0002,SKU-0002-02,2023-09-01,617.0,691.33
OUT0002,SKU-0002-02,2023-10-01,556.0,644.0
OUT0002,SKU-0002-02,2023-11-01,657.0,605.0
OUT0002,SKU-0002-02,2023-12-01,643.0,610.0
OUT0002,SKU-0002-02,2024-01-01,750.0,618.67
OUT0002,SKU-0002-02,2024-02-01,704.0,683.33
OUT0002,SKU-0002-02,2024-03-01,752.0,699.0
OUT0002,SKU-0002-02,2024-04-01,717.0,735.33
OUT0002,SKU-0002-02,2024-05-01,661.0,724.33
OUT0002,SKU-0002-02,2024-06-01,735.0,710.0
OUT0002,SKU-0002-02,2024-07-01,563.0,704.33
OUT0002,SKU-0002-02,2024-08-01,734.0,653.0
OUT0002,SKU-0002-02,2024-09-01,615.0,677.33
OUT0002,SKU-0002-02,2024-10-01,565.0,637.33
OUT0002,SKU-0002-02,2024-11-01,765.0,638.0
OUT0002,SKU-0002-02,2024-12-01,727.0,648.33
OUT0002,SKU-0002-02,2025-01-01,634.0,685.67
OUT0002,SKU-0002-02,2025-02-01,812.0,708.67
OUT0002,SKU-0002-02,2025-03-01,886.0,724.33
OUT0002,SKU-0002-02,2025-04-01,674.0,777.33
OUT0002,SKU-0002-02,2025-05-01,671.0,790.67
OUT0002,SKU-0002-02,2025-06-01,700.0,743.67
OUT0002,SKU-0002-02,2025-07-01,600.0,681.67
OUT0002,SKU-0002-02,2025-08-01,682.0,657.0
OUT0002,SKU-0002-02,2025-09-01,617.0,660.67
OUT0002,SKU-0002-02,2025-10-01,606.0,633.0
OUT0002,SKU-0002-02,2025-11-01,567.0,635.0
OUT0002,SKU-0002-02,2025-12-01,734.0,596.67
OUT0002,SKU-0002-02,2026-01-01,753.0,635.67
OUT0002,SKU-0002-02,2026-02-01,754.0,684.67
OUT0002,SKU-0002-02,2026-03-01,696.0,747.0
OUT0002,SKU-0002-02,2026-04-01,741.0,734.33
OUT0003,SKU-0003-03,2023-01-01,3586.0,
OUT0003,SKU-0003-03,2023-02-01,3449.0,
OUT0003,SKU-0003-03,2023-03-01,3600.0,
OUT0003,SKU-0003-03,2023-04-01,3644.0,3545.0
OUT0003,SKU-0003-03,2023-05-01,2980.0,3564.33
OUT0003,SKU-0003-03,2023-06-01,3557.0,3408.0
OUT0003,SKU-0003-03,2023-07-01,3518.0,3393.67
OUT0003,SKU-0003-03,2023-08-01,3209.0,3351.67
OUT0003,SKU-0003-03,2023-09-01,2989.0,3428.0
OUT0003,SKU-0003-03,2023-10-01,2650.0,3238.67
OUT0003,SKU-0003-03,2023-11-01,3164.0,2949.33
OUT0003,SKU-0003-03,2023-12-01,2966.0,2934.33
OUT0003,SKU-0003-03,2024-01-01,2988.0,2926.67
OUT0003,SKU-0003-03,2024-02-01,4020.0,3039.33
OUT0003,SKU-0003-03,2024-03-01,4182.0,3324.67
OUT0003,SKU-0003-03,2024-04-01,3811.0,3730.0
OUT0003,SKU-0003-03,2024-05-01,3492.0,4004.33
OUT0003,SKU-0003-03,2024-06-01,3111.0,3828.33
