Outlet_ID,Records,Total_Marketing_Spend,Total_Sales_Revenue,Total_Orders,Average_Conversion_Rate,Revenue_Per_Marketing_Rupee,Marketing_Spend_Percentage,Marketing_Category,Alert_Level,Marketing_Insights,Recommendations,Marketing_Effectiveness_Score,Effectiveness_Category,Campaign_Records,Total_Marketing_Reach,Total_Marketing_Conversions,Average_Campaign_ROI,High_Performing_Campaigns,Needs_Improvement_Campaigns,Primary_Campaign_Type,Customer_Engagement_Rate,Campaign_Performance_Category,Marketing_Effectiveness_Insight,Marketing_Effectiveness_Recommendation
OUT0001,38,2926886.83,62019742.48,35179.0,25.14,21.19,4.72,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,60.6,Moderate,40,38692,4873,2.1,14,4,Digital Campaign,12.59,Moderate,"Marketing effectiveness is 60.6/100 (Moderate). Campaign ROI averages 2.10, with 12.59% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0002,40,1386220.71,24944927.22,27543.0,25.9,17.99,5.56,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,54.98,Moderate,40,23106,2852,1.02,2,27,Digital Campaign,12.34,Needs Improvement,"Marketing effectiveness is 55.0/100 (Moderate). Campaign ROI averages 1.02, with 12.34% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0003,40,3289099.19,70656261.59,131722.0,30.66,21.48,4.66,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,76.72,High Performing,40,113490,17760,2.16,11,0,Digital Campaign,15.65,Moderate,"Marketing effectiveness is 76.7/100 (High Performing). Campaign ROI averages 2.16, with 15.65% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0004,40,742992.13,14569182.52,17329.0,15.17,19.61,5.1,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",47.61,Moderate,40,22883,1603,1.09,3,26,Digital Campaign,7.01,Needs Improvement,"Marketing effectiveness is 47.6/100 (Moderate). Campaign ROI averages 1.09, with 7.01% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0005,38,3448067.79,69149390.21,59485.0,19.47,20.05,4.99,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,56.76,Moderate,40,88601,8690,2.01,10,3,Digital Campaign,9.81,Moderate,"Marketing effectiveness is 56.8/100 (Moderate). Campaign ROI averages 2.01, with 9.81% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0006,37,997395.06,18916336.37,21580.0,18.84,18.97,5.27,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,50.07,Moderate,40,25702,2485,1.1,3,24,Digital Campaign,9.67,Needs Improvement,"Marketing effectiveness is 50.1/100 (Moderate). Campaign ROI averages 1.10, with 9.67% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0007,37,1372743.68,27480651.16,31572.0,21.42,20.02,5.0,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,55.13,Moderate,40,35643,3694,1.27,3,18,Digital Campaign,10.36,Needs Improvement,"Marketing effectiveness is 55.1/100 (Moderate). Campaign ROI averages 1.27, with 10.36% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0008,39,1568470.39,30572506.58,22752.0,20.52,19.49,5.13,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,52.48,Moderate,40,25289,2566,1.36,4,19,Digital Campaign,10.15,Needs Improvement,"Marketing effectiveness is 52.5/100 (Moderate). Campaign ROI averages 1.36, with 10.15% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0009,39,9238767.25,192069813.78,159044.0,31.82,20.79,4.81,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,79.64,High Performing,40,161692,25846,3.07,20,2,Digital Campaign,15.98,High Performing,"Marketing effectiveness is 79.6/100 (High Performing). Campaign ROI averages 3.07, with 15.98% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0010,38,4178335.96,85405812.13,65552.0,25.5,20.44,4.89,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,63.11,Moderate,40,77310,9917,2.35,17,2,Digital Campaign,12.83,High Performing,"Marketing effectiveness is 63.1/100 (Moderate). Campaign ROI averages 2.35, with 12.83% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0011,40,1539939.27,29189904.29,20449.0,9.22,18.96,5.28,Needs Improvement,High,Marketing efficiency is below the lower-performing outlet range. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Review marketing campaigns and redirect spending toward better-performing activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",41.93,Moderate,40,49156,2169,1.22,4,23,Digital Campaign,4.41,Needs Improvement,"Marketing effectiveness is 41.9/100 (Moderate). Campaign ROI averages 1.22, with 4.41% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0012,38,6423521.34,121360091.27,106412.0,22.81,18.89,5.29,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,62.94,Moderate,40,153105,17626,2.22,15,3,Digital Campaign,11.51,Moderate,"Marketing effectiveness is 62.9/100 (Moderate). Campaign ROI averages 2.22, with 11.51% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0013,40,3133441.4,58850615.78,54993.0,27.5,18.78,5.32,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,60.77,Moderate,40,52886,7291,1.71,7,6,Digital Campaign,13.79,Moderate,"Marketing effectiveness is 60.8/100 (Moderate). Campaign ROI averages 1.71, with 13.79% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
