Month,Campaigns,Marketing_Spend,Marketing_Reach,Marketing_Conversions,Average_Campaign_ROI,High_Performing_Campaigns,Needs_Improvement_Campaigns,Customer_Engagement_Rate
2023-01,750,71893077.3,1475472,175729,1.79,171,191,11.91
2023-02,750,70619326.72,1512561,179062,1.89,190,190,11.84
2023-03,750,70915912.49,1528552,180521,1.98,228,155,11.81
2023-04,750,71410827.14,1528852,181682,1.87,194,189,11.88
2023-05,750,69962237.37,1464368,173142,1.85,183,187,11.82
2023-06,750,67726086.43,1401872,165648,1.8,182,217,11.82
2023-07,750,64833720.98,1331421,156858,1.8,162,188,11.78
2023-08,750,62853595.07,1292831,153610,1.8,170,194,11.88
2023-09,750,61881316.95,1268451,150371,1.79,185,196,11.85
2023-10,750,61655493.29,1286585,152353,1.85,198,181,11.84
2023-11,750,67046140.01,1340385,158682,1.76,172,204,11.84
2023-12,750,67012974.61,1399925,166175,1.86,196,178,11.87
2024-01,750,69880205.62,1471016,174817,1.88,211,181,11.88
2024-02,750,72486492.71,1522281,179877,1.89,183,167,11.82
2024-03,750,71915808.8,1528045,180030,1.88,203,173,11.78
2024-04,750,71713179.24,1514202,178327,1.94,208,183,11.78
2024-05,750,67477425.27,1456845,171357,1.88,189,178,11.76
2024-06,750,66963317.84,1406935,166597,1.87,198,177,11.84
2024-07,750,64856410.54,1336287,158984,1.84,181,173,11.9
2024-08,750,61566652.33,1280922,151261,1.82,181,196,11.81
2024-09,750,60314932.9,1269596,150293,1.82,182,200,11.84
2024-10,750,63771695.07,1291450,153715,1.77,167,208,11.9
2024-11,750,65738100.06,1331662,157858,1.79,175,194,11.85
2024-12,750,66599540.89,1391239,165373,1.88,196,191,11.89
2025-01,750,69500092.09,1473116,174730,1.88,196,172,11.86
2025-02,750,72434200.43,1520388,180352,1.89,194,174,11.86
2025-03,750,72102754.13,1535599,181590,1.92,194,160,11.83
2025-04,750,72123609.43,1516326,178461,1.87,199,168,11.77
2025-05,750,68101090.51,1459526,173512,1.92,209,185,11.89
2025-06,750,69326462.42,1409616,167659,1.8,168,193,11.89
2025-07,750,66339363.34,1343247,159161,1.77,171,204,11.85
2025-08,750,64049977.32,1286595,153590,1.77,176,216,11.94
2025-09,750,63224487.34,1276310,151777,1.78,179,200,11.89
2025-10,750,63252728.3,1293494,152998,1.8,180,211,11.83
2025-11,750,64386050.24,1338193,157698,1.8,173,192,11.78
2025-12,750,66435257.42,1396862,165768,1.85,199,202,11.87
2026-01,750,68345037.3,1453093,171607,1.88,196,205,11.81
2026-02,750,71731944.73,1523556,180190,1.86,185,177,11.83
2026-03,750,73166440.03,1529734,180391,1.85,191,167,11.79
2026-04,750,73179734.77,1510394,179722,1.86,183,180,11.9
