Month,Outlets_Recorded,Average_Employees,Average_Productivity_Score,Average_Attendance_Rate,Average_Staff_Performance_Score,Balanced_Outlets,Understaffed_Outlets,Overstaffed_Outlets
2023-01,750,17.6,71.71,94.09,77.86,94,360,296
2023-02,750,17.6,72.14,94.14,78.14,87,372,291
2023-03,750,17.6,72.5,94.09,78.22,88,375,287
2023-04,750,17.6,72.45,94.04,78.25,85,372,293
2023-05,750,17.6,71.5,94.07,77.7,93,357,300
2023-06,750,17.6,70.45,94.05,77.2,100,339,311
2023-07,750,17.6,69.09,94.07,76.6,108,320,322
2023-08,750,17.6,68.57,94.06,76.31,99,319,332
2023-09,750,17.6,68.06,94.08,76.05,104,311,335
2023-10,750,17.6,68.54,94.08,76.27,86,323,341
2023-11,750,17.6,69.52,94.08,76.88,96,327,327
2023-12,750,17.6,70.62,94.07,77.31,101,347,302
2024-01,750,17.6,71.65,94.07,77.89,88,363,299
2024-02,750,17.6,72.18,94.06,78.14,85,369,296
2024-03,750,17.6,72.41,94.03,78.15,95,372,283
2024-04,750,17.6,72.32,94.1,78.24,95,366,289
2024-05,750,17.6,71.16,94.08,77.59,94,356,300
2024-06,750,17.6,70.45,94.11,77.26,99,342,309
2024-07,750,17.6,69.24,94.05,76.66,101,329,320
2024-08,750,17.6,68.44,94.05,76.29,109,313,328
2024-09,750,17.6,68.2,94.12,76.05,98,307,345
2024-10,750,17.6,68.41,94.07,76.26,106,310,334
2024-11,750,17.6,69.13,94.08,76.58,87,330,333
2024-12,750,17.6,70.48,94.06,77.23,92,345,313
2025-01,750,17.6,71.58,94.12,77.82,95,357,298
2025-02,750,17.6,72.15,94.07,78.15,97,365,288
2025-03,750,17.6,72.63,94.09,78.29,94,368,288
2025-04,750,17.6,72.45,94.07,78.29,87,371,292
2025-05,750,17.6,71.64,94.12,77.88,91,358,301
2025-06,750,17.6,70.62,94.08,77.34,93,346,311
2025-07,750,17.6,69.29,94.04,76.68,99,328,323
2025-08,750,17.6,68.39,94.08,76.26,87,319,344
2025-09,750,17.6,68.23,94.09,76.21,96,321,333
2025-10,750,17.6,68.49,94.1,76.36,95,317,338
2025-11,750,17.6,69.25,94.09,76.68,97,327,326
2025-12,750,17.6,70.47,94.05,77.19,102,339,309
2026-01,750,17.6,71.36,94.06,77.69,91,359,300
2026-02,750,17.6,72.25,94.07,78.03,81,374,295
2026-03,750,17.6,72.44,94.05,78.3,86,372,292
2026-04,750,17.6,72.21,94.06,78.11,94,370,286
