Outlet_ID,Outlet_Name,Records,Average_Employees,Average_Productivity_Score,Average_Attendance_Rate,Average_Staff_Performance_Score,Top_Performer_Months,Needs_Improvement_Months,Balanced_Months,Understaffed_Months,Overstaffed_Months,Latest_Month,Latest_Staff_Performance_Score,Latest_Staff_Category,Latest_Scheduling_Status,Workforce_Category,Workforce_Alert_Level,Workforce_Insight,Workforce_Recommendation
OUT0001,Franchise Outlet 0001,40,20.0,50.21,94.0,66.38,0,20,0,0,40,2026-04-01,71.09,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 66.4/100 with 94.0% attendance. The latest workforce schedule is overstaffed, and 20 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0002,Franchise Outlet 0002,40,22.0,41.48,93.95,62.74,0,39,0,0,40,2026-04-01,61.11,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 62.7/100 with 93.9% attendance. The latest workforce schedule is overstaffed, and 39 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0003,Franchise Outlet 0003,40,8.0,100.0,95.53,95.03,39,0,0,40,0,2026-04-01,95.1,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.0/100 with 95.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0004,Franchise Outlet 0004,40,20.0,35.91,94.9,61.83,0,40,0,0,40,2026-04-01,61.85,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 61.8/100 with 94.9% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0005,Franchise Outlet 0005,40,17.0,76.73,93.34,78.53,0,0,10,30,0,2026-04-01,80.15,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 78.5/100 with 93.3% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0006,Franchise Outlet 0006,40,18.0,43.86,93.12,61.77,0,37,3,0,37,2026-04-01,64.05,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 61.8/100 with 93.1% attendance. The latest workforce schedule is overstaffed, and 37 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0007,Franchise Outlet 0007,40,12.0,65.55,95.48,77.95,1,0,32,3,5,2026-04-01,81.13,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 77.9/100 with 95.5% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0008,Franchise Outlet 0008,40,25.0,37.29,94.01,60.25,0,39,0,0,40,2026-04-01,60.26,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 60.3/100 with 94.0% attendance. The latest workforce schedule is overstaffed, and 39 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0009,Franchise Outlet 0009,40,23.0,99.98,94.69,93.14,34,0,0,40,0,2026-04-01,94.79,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.1/100 with 94.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0010,Franchise Outlet 0010,40,23.0,66.78,94.67,77.08,0,0,37,2,1,2026-04-01,79.53,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 77.1/100 with 94.7% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0011,Franchise Outlet 0011,40,24.0,35.7,93.56,58.45,0,40,0,0,40,2026-04-01,59.91,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 58.4/100 with 93.6% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0012,Franchise Outlet 0012,40,4.0,100.0,94.72,93.56,39,0,0,40,0,2026-04-01,94.64,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.6/100 with 94.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0013,Franchise Outlet 0013,40,11.0,94.79,94.7,91.16,21,0,0,40,0,2026-04-01,91.49,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 91.2/100 with 94.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0014,Franchise Outlet 0014,40,22.0,43.34,94.49,64.52,0,32,0,0,40,2026-04-01,64.02,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 64.5/100 with 94.5% attendance. The latest workforce schedule is overstaffed, and 32 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0015,Franchise Outlet 0015,40,13.0,83.24,93.65,82.3,0,0,1,39,0,2026-04-01,80.62,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 82.3/100 with 93.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0016,Franchise Outlet 0016,40,22.0,80.81,95.06,85.03,5,0,5,34,1,2026-04-01,71.69,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 85.0/100 with 95.1% attendance. The latest workforce schedule is overstaffed, and 0 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0017,Franchise Outlet 0017,40,21.0,97.22,94.29,90.6,19,0,0,40,0,2026-04-01,92.23,Top Performer,Understaffed,Meets Expectations,Medium,"Average staff performance is 90.6/100 with 94.3% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0018,Franchise Outlet 0018,40,15.0,65.8,95.2,77.74,0,0,27,3,10,2026-04-01,78.63,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 77.7/100 with 95.2% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0019,Franchise Outlet 0019,40,22.0,56.72,94.56,71.28,0,0,2,0,38,2026-04-01,69.83,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 71.3/100 with 94.6% attendance. The latest workforce schedule is overstaffed, and 0 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0020,Franchise Outlet 0020,40,21.0,37.3,92.69,57.65,0,39,0,0,40,2026-04-01,55.98,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 57.7/100 with 92.7% attendance. The latest workforce schedule is overstaffed, and 39 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0021,Franchise Outlet 0021,40,21.0,100.0,95.55,95.63,40,0,0,40,0,2026-04-01,95.35,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.6/100 with 95.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0022,Franchise Outlet 0022,40,19.0,46.86,92.8,62.82,0,40,0,0,40,2026-04-01,64.65,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 62.8/100 with 92.8% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0023,Franchise Outlet 0023,40,10.0,56.18,93.71,69.16,0,5,1,1,38,2026-04-01,70.16,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 69.2/100 with 93.7% attendance. The latest workforce schedule is overstaffed, and 5 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0024,Franchise Outlet 0024,40,14.0,68.98,94.12,76.44,0,0,25,12,3,2026-04-01,74.02,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 76.4/100 with 94.1% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0025,Franchise Outlet 0025,40,11.0,92.79,95.34,91.59,26,0,0,40,0,2026-04-01,95.81,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 91.6/100 with 95.3% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0026,Franchise Outlet 0026,40,18.0,100.0,94.8,93.29,39,0,0,40,0,2026-04-01,95.08,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.3/100 with 94.8% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0027,Franchise Outlet 0027,40,16.0,64.61,93.84,73.62,0,0,29,4,7,2026-04-01,75.72,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 73.6/100 with 93.8% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0028,Franchise Outlet 0028,40,22.0,100.0,95.48,95.04,40,0,0,40,0,2026-04-01,94.9,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.0/100 with 95.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0029,Franchise Outlet 0029,40,17.0,58.18,93.13,69.16,0,3,12,0,28,2026-04-01,67.97,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 69.2/100 with 93.1% attendance. The latest workforce schedule is overstaffed, and 3 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0030,Franchise Outlet 0030,40,17.0,32.98,93.35,56.58,0,40,0,0,40,2026-04-01,56.63,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 56.6/100 with 93.3% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0031,Franchise Outlet 0031,40,22.0,78.78,95.17,83.75,0,0,5,34,1,2026-04-01,81.34,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 83.7/100 with 95.2% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0032,Franchise Outlet 0032,40,24.0,46.91,92.63,62.99,0,38,0,0,40,2026-04-01,63.91,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 63.0/100 with 92.6% attendance. The latest workforce schedule is overstaffed, and 38 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0033,Franchise Outlet 0033,40,18.0,100.0,95.14,94.73,40,0,0,40,0,2026-04-01,95.97,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 94.7/100 with 95.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0034,Franchise Outlet 0034,40,15.0,94.25,94.46,89.9,20,0,0,40,0,2026-04-01,92.25,Top Performer,Understaffed,Meets Expectations,Medium,"Average staff performance is 89.9/100 with 94.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0035,Franchise Outlet 0035,40,15.0,88.17,94.96,87.69,8,0,0,40,0,2026-04-01,89.25,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 87.7/100 with 95.0% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0036,Franchise Outlet 0036,40,22.0,64.26,93.6,72.97,0,0,26,0,14,2026-04-01,77.31,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 73.0/100 with 93.6% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0037,Franchise Outlet 0037,40,12.0,59.47,93.1,69.23,0,6,16,0,24,2026-04-01,71.35,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 69.2/100 with 93.1% attendance. The latest workforce schedule is balanced, and 6 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0038,Franchise Outlet 0038,40,31.0,45.3,93.08,62.41,0,39,0,0,40,2026-04-01,63.52,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 62.4/100 with 93.1% attendance. The latest workforce schedule is overstaffed, and 39 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0039,Franchise Outlet 0039,40,17.0,98.22,95.11,93.45,36,0,1,39,0,2026-04-01,93.17,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.4/100 with 95.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0040,Franchise Outlet 0040,40,19.0,66.79,92.67,72.33,0,1,35,2,3,2026-04-01,76.25,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 72.3/100 with 92.7% attendance. The latest workforce schedule is balanced, and 1 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0041,Franchise Outlet 0041,40,13.0,100.0,93.79,91.64,29,0,0,40,0,2026-04-01,89.72,Meets Expectations,Understaffed,Top Performer,Medium,"Average staff performance is 91.6/100 with 93.8% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0042,Franchise Outlet 0042,40,18.0,33.53,92.82,55.59,0,40,0,0,40,2026-04-01,56.71,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 55.6/100 with 92.8% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0043,Franchise Outlet 0043,40,12.0,52.78,93.7,67.66,0,11,0,0,40,2026-04-01,68.92,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 67.7/100 with 93.7% attendance. The latest workforce schedule is overstaffed, and 11 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0044,Franchise Outlet 0044,40,19.0,99.86,94.1,91.66,31,0,0,40,0,2026-04-01,88.86,Meets Expectations,Understaffed,Top Performer,Medium,"Average staff performance is 91.7/100 with 94.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0045,Franchise Outlet 0045,40,19.0,32.17,92.38,54.79,0,40,0,0,40,2026-04-01,52.03,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 54.8/100 with 92.4% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0046,Franchise Outlet 0046,40,17.0,74.51,94.07,78.94,0,0,10,30,0,2026-04-01,82.65,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 78.9/100 with 94.1% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0047,Franchise Outlet 0047,40,14.0,60.46,94.62,73.26,0,0,7,1,32,2026-04-01,73.93,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 73.3/100 with 94.6% attendance. The latest workforce schedule is overstaffed, and 0 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0048,Franchise Outlet 0048,40,10.0,96.4,94.7,91.49,26,0,0,40,0,2026-04-01,93.12,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 91.5/100 with 94.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0049,Franchise Outlet 0049,40,16.0,100.0,95.54,95.3,40,0,0,40,0,2026-04-01,95.73,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 95.3/100 with 95.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0050,Franchise Outlet 0050,40,13.0,45.85,94.53,65.83,0,23,0,0,40,2026-04-01,62.31,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 65.8/100 with 94.5% attendance. The latest workforce schedule is overstaffed, and 23 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0051,Franchise Outlet 0051,40,15.0,100.0,94.58,92.77,37,0,0,40,0,2026-04-01,91.04,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 92.8/100 with 94.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0052,Franchise Outlet 0052,40,26.0,47.36,93.98,65.15,0,27,0,0,40,2026-04-01,64.23,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 65.2/100 with 94.0% attendance. The latest workforce schedule is overstaffed, and 27 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0053,Franchise Outlet 0053,40,14.0,67.93,92.74,73.18,0,0,31,5,4,2026-04-01,74.86,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 73.2/100 with 92.7% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0054,Franchise Outlet 0054,40,28.0,40.01,92.89,59.27,0,40,0,0,40,2026-04-01,58.17,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 59.3/100 with 92.9% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0055,Franchise Outlet 0055,40,21.0,46.45,94.19,65.23,0,27,0,0,40,2026-04-01,63.39,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 65.2/100 with 94.2% attendance. The latest workforce schedule is overstaffed, and 27 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0056,Franchise Outlet 0056,40,31.0,44.17,92.67,61.37,0,40,0,0,40,2026-04-01,59.66,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 61.4/100 with 92.7% attendance. The latest workforce schedule is overstaffed, and 40 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0057,Franchise Outlet 0057,40,19.0,81.44,94.42,83.73,0,0,3,37,0,2026-04-01,84.48,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 83.7/100 with 94.4% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0058,Franchise Outlet 0058,40,13.0,73.14,93.58,77.14,0,0,17,23,0,2026-04-01,73.68,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 77.1/100 with 93.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0059,Franchise Outlet 0059,40,25.0,69.17,94.44,77.31,0,0,28,10,2,2026-04-01,79.11,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 77.3/100 with 94.4% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0060,Franchise Outlet 0060,40,20.0,73.36,94.47,79.56,0,0,18,21,1,2026-04-01,80.84,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 79.6/100 with 94.5% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0061,Franchise Outlet 0061,40,21.0,95.18,95.18,92.09,25,0,0,40,0,2026-04-01,90.77,Meets Expectations,Understaffed,Top Performer,Medium,"Average staff performance is 92.1/100 with 95.2% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0062,Franchise Outlet 0062,40,15.0,52.29,94.01,68.37,0,6,0,0,40,2026-04-01,70.97,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 68.4/100 with 94.0% attendance. The latest workforce schedule is overstaffed, and 6 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0063,Franchise Outlet 0063,40,16.0,71.21,93.89,77.19,0,0,23,17,0,2026-04-01,76.82,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 77.2/100 with 93.9% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0064,Franchise Outlet 0064,40,26.0,51.81,94.4,68.27,0,10,0,0,40,2026-04-01,72.42,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 68.3/100 with 94.4% attendance. The latest workforce schedule is overstaffed, and 10 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0065,Franchise Outlet 0065,40,14.0,99.33,94.96,93.29,37,0,0,40,0,2026-04-01,92.95,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.3/100 with 95.0% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0066,Franchise Outlet 0066,40,7.0,86.76,95.42,88.25,9,0,0,40,0,2026-04-01,87.13,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 88.3/100 with 95.4% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0067,Franchise Outlet 0067,40,16.0,99.26,94.4,92.58,37,0,1,39,0,2026-04-01,96.02,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 92.6/100 with 94.4% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0068,Franchise Outlet 0068,40,21.0,66.23,93.5,73.7,0,0,36,1,3,2026-04-01,76.5,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 73.7/100 with 93.5% attendance. The latest workforce schedule is balanced, and 0 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0069,Franchise Outlet 0069,40,24.0,52.98,93.88,67.86,0,10,0,0,40,2026-04-01,69.39,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 67.9/100 with 93.9% attendance. The latest workforce schedule is overstaffed, and 10 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0070,Franchise Outlet 0070,40,23.0,56.85,95.1,72.63,0,0,6,0,34,2026-04-01,70.92,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 72.6/100 with 95.1% attendance. The latest workforce schedule is overstaffed, and 0 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
