Record_ID,Outlet_ID,Outlet_Name,Outlet_Type,City,State,Region,Month,Footfall,Orders,Conversion_Rate_%,Average_Order_Value_INR,Sales_Revenue_INR,COGS_INR,Operating_Cost_INR,Marketing_Spend_INR,Profit_INR,Profit_Margin_%,Employees,Employee_Turnover_%,Customer_Satisfaction_1_5,Complaints
REC000001,OUT0706,Franchise Outlet 0706,Franchise,Vadodara,Gujarat,West,2024-03,8022.0,1564.0,19.5,606.9,949199.32,490393.08,224520.75,51108.52,183176.97,19.3,7,3.59,3.68,26.0
REC000002,OUT0626,Franchise Outlet 0626,Franchise,Bhubaneswar,Odisha,East,2026-01,10528.0,1920.0,18.24,802.51,1540822.01,775200.35,247806.52,87023.69,430791.45,27.96,8,9.63,,24.0
REC000003,OUT0296,Franchise Outlet 0296,Franchise,Bhubaneswar,Odisha,East,2026-01,5894.0,1501.0,25.48,635.51,953897.51,609171.21,171678.1,69675.41,103372.8,10.84,21,3.33,3.8,20.0
REC000004,OUT0670,Franchise Outlet 0670,Franchise,Pune,Maharashtra,West,2026-01,4275.0,644.0,15.08,784.26,505065.57,294503.07,134141.3,27941.71,48479.5,9.6,14,14.92,3.24,28.0
REC000005,OUT0734,Franchise Outlet 0734,Company-Owned,Nagpur,Maharashtra,West,2024-10,10713.0,3235.0,30.2,1015.82,3286162.68,1557236.38,955226.5,146944.02,626755.78,19.07,23,5.18,4.16,9.0
REC000006,OUT0448,Franchise Outlet 0448,Franchise,Patna,Bihar,East,2024-10,5249.0,839.0,16.0,528.36,443293.27,251050.81,80728.73,23611.55,87902.18,19.83,14,10.18,3.41,35.0
REC000007,OUT0654,Franchise Outlet 0654,Franchise,Visakhapatnam,Andhra Pradesh,South,2024-02,6340.0,1736.0,27.39,1247.83,2166228.51,1375131.68,333440.05,107932.85,349723.93,16.14,18,11.05,3.8,22.0
REC000008,OUT0326,Franchise Outlet 0326,Franchise,Bhubaneswar,Odisha,East,2025-09,4512.0,903.0,20.04,1487.87,1343545.42,614468.23,252928.78,98197.24,377951.17,28.13,13,9.42,2.78,28.0
REC000009,OUT0121,Franchise Outlet 0121,Company-Owned,Ludhiana,Punjab,North,2024-08,2450.0,328.0,13.4,1618.01,530708.85,306232.18,122984.04,42037.14,59455.5,11.2,15,8.35,3.15,30.0
REC000010,OUT0050,Franchise Outlet 0050,Franchise,Coimbatore,Tamil Nadu,South,2026-03,6995.0,539.0,7.72,907.4,489086.71,279606.11,90023.22,38973.65,80483.73,16.46,13,8.85,3.51,19.0
REC000011,OUT0598,Franchise Outlet 0598,Franchise,Patna,Bihar,East,2025-02,1995.0,372.0,18.68,1329.37,494524.1,241638.36,117065.98,23805.35,112014.41,22.65,23,7.78,,18.0
REC000012,OUT0048,Franchise Outlet 0048,Franchise,Hyderabad,Telangana,South,2025-12,6056.0,1294.0,21.38,1263.04,1634376.29,770442.11,288853.21,119676.69,455404.28,27.86,10,5.18,3.76,21.0
REC000013,OUT0567,Franchise Outlet 0567,Franchise,Guwahati,Assam,East,2024-04,4604.0,962.0,20.89,469.72,451872.94,210105.38,127893.69,23769.25,90104.63,19.94,18,9.2,2.66,30.0
REC000014,OUT0186,Franchise Outlet 0186,Franchise,Lucknow,Uttar Pradesh,North,2025-03,4037.0,809.0,20.05,1330.21,1076141.16,593668.59,239394.55,58463.94,184614.08,17.16,17,11.39,3.0,22.0
REC000015,OUT0060,Franchise Outlet 0060,Franchise,Siliguri,West Bengal,East,2023-01,10371.0,1850.0,17.84,628.87,1163411.88,607387.27,290201.87,34509.84,231312.91,19.88,20,7.0,3.31,13.0
