date,outlet_id,outlet_name,city,region,revenue,target_revenue,previous_month_revenue,orders,avg_order_value,customer_rating,complaint_rate,on_time_service_pct,benchmark_revenue,benchmark_gap_pct,performance_score,health_category,rank,alert_level,insight,recommendation,source_performance_score,source_rank,source_benchmark_revenue,source_benchmark_gap_pct,target_achievement_pct,revenue_growth_pct,revenue_component_score,growth_component_score,rating_component_score,complaint_component_score,service_component_score,issue_tags
2026-01-01,OUT-005,Mumbai Andheri,Mumbai,West,1185407.29,1068750.0,1185407.29,2595,456.8,4.85,1.44,96.4,977246.985,21.300685312423866,89.2,Excellent,1,Low,"Mumbai Andheri is a leading outlet with a 89.2 score, 110.9% target achievement, and +0.0% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,84.8,1,1028549.0283333332,15.3,110.91530198830411,0.0,100.0,50.0,97.0,85.6,96.4,No major issue
2026-01-01,OUT-006,Pune Baner,Pune,West,1070302.62,1035500.0,1070302.62,2366,452.37,4.22,2.9,93.14,977246.985,9.52222277769423,84.0,Good,2,Low,Pune Baner is stable with a 84.0 score and 103.4% target achievement; no major operating risk is detected.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,78.1,2,1028549.0283333332,4.1,103.36094833413812,0.0,100.0,50.0,84.39999999999999,71.0,93.14,No major issue
2026-01-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1123674.9,1140000.0,1123674.9,2632,426.93,4.27,2.17,88.12,977246.985,14.983716219907286,84.0,Good,3,Low,Bengaluru Indiranagar needs attention due to revenue below target. Its score is 84.0 and it ranks #3 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,76.9,3,1004219.2266666666,11.9,98.56797368421051,0.0,98.56797368421051,50.0,85.39999999999999,78.3,88.12,revenue below target
2026-01-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1070580.13,1121000.0,1070580.13,2513,426.02,4.27,2.41,93.7,977246.985,9.55061989779379,83.4,Good,4,Low,Ahmedabad Central needs attention due to revenue below target. Its score is 83.4 and it ranks #4 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,76.6,4,1028549.0283333332,4.1,95.50224174843889,0.0,95.50224174843889,50.0,85.39999999999999,75.9,93.7,revenue below target
2026-01-01,OUT-007,Delhi Connaught Place,Delhi,North,1209802.54,1159000.0,1209802.54,2722,444.45,4.23,3.65,95.8,977246.985,23.797009207452305,83.3,Good,5,Low,Delhi Connaught Place is stable with a 83.3 score and 104.4% target achievement; no major operating risk is detected.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,78.1,2,1046921.455,15.6,104.38330802415877,0.0,100.0,50.0,84.60000000000001,63.5,95.8,No major issue
2026-01-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1066318.4,1054500.0,1066318.4,2474,431.01,4.13,2.95,89.47,977246.985,9.11452441063299,83.0,Good,6,Low,Hyderabad Jubilee Hills is stable with a 83.0 score and 101.1% target achievement; no major operating risk is detected.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,76.5,5,1004219.2266666666,6.2,101.12075865339023,0.0,100.0,50.0,82.6,70.5,89.47,No major issue
2026-01-01,OUT-003,Vadodara Alkapuri,Vadodara,West,1016469.69,1007000.0,1016469.69,2040,498.27,4.08,3.62,89.99,977246.985,4.013591814765227,81.9,Good,7,Low,Vadodara Alkapuri is stable with a 81.9 score and 100.9% target achievement; no major operating risk is detected.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,75.6,6,1028549.0283333332,-1.2,100.94038629592849,0.0,100.0,50.0,81.60000000000001,63.8,89.99,No major issue
2026-01-01,OUT-004,Rajkot Kalawad,Rajkot,West,860312.11,893000.0,860312.11,1987,432.97,4.05,3.03,86.81,977246.985,-11.965744258602138,80.9,Good,8,Low,Rajkot Kalawad needs attention due to revenue below target. Its score is 80.9 and it ranks #8 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,74.3,8,1028549.0283333332,-16.4,96.33954199328107,0.0,96.33954199328107,50.0,81.0,69.7,86.81,revenue below target
2026-01-01,OUT-002,Surat Citylight,Surat,West,968222.33,1064000.0,968222.33,2126,455.42,4.23,2.82,91.91,977246.985,-0.9234773950210783,80.8,Good,9,Low,Surat Citylight needs attention due to revenue below target. Its score is 80.8 and it ranks #9 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,74.4,7,1028549.0283333332,-5.9,90.99833928571428,0.0,90.99833928571428,50.0,84.60000000000001,71.8,91.91,revenue below target
2026-01-01,OUT-011,Chennai T Nagar,Chennai,South,822664.38,864500.0,822664.38,1768,465.31,4.18,3.47,87.03,977246.985,-15.818171595586964,80.4,Good,10,Low,Chennai T Nagar needs attention due to revenue below target. Its score is 80.4 and it ranks #10 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,74.1,9,1004219.2266666666,-18.1,95.16071486408329,0.0,95.16071486408329,50.0,83.6,65.3,87.03,revenue below target
