date,outlet_id,outlet_name,city,region,revenue,target_revenue,previous_month_revenue,orders,avg_order_value,customer_rating,complaint_rate,on_time_service_pct,benchmark_revenue,benchmark_gap_pct,performance_score,health_category,rank,alert_level,insight,recommendation
2026-01-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1070580.13,1121000.0,1070580.13,2513,426.02,4.27,2.41,93.7,1028549.0283333332,4.1,76.6,Good,4,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-02-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1151631.65,1132210.0,1070580.13,2712,424.64,4.22,3.86,89.26,1059722.778333333,8.7,79.9,Good,2,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-03-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1226774.23,1143420.0,1151631.65,2412,508.61,4.1,3.7,92.86,1032448.275,18.8,81.2,Good,1,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-04-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1055961.61,1154630.0,1226774.23,2370,445.55,4.1,3.1,90.13,1011028.585,4.4,66.5,Needs Improvement,11,Medium,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1076989.08,1165840.0,1055961.61,2308,466.63,4.2,2.12,91.0,1011876.3466666668,6.4,76.3,Good,8,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-06-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1053838.02,1177050.0,1076989.08,2233,471.94,4.13,3.78,93.34,1044805.1466666666,0.9,71.8,Good,9,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-07-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1139134.44,1188260.0,1053838.02,2367,481.26,4.07,3.4,94.14,1122480.086666667,1.5,79.0,Good,6,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-08-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1223423.67,1199470.0,1139134.44,2517,486.06,4.23,4.07,86.48,1151947.725,6.2,79.3,Good,3,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-01-01,OUT-002,Surat Citylight,Surat,West,968222.33,1064000.0,968222.33,2126,455.42,4.23,2.82,91.91,1028549.0283333332,-5.9,74.4,Good,7,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-02-01,OUT-002,Surat Citylight,Surat,West,1044247.64,1074640.0,968222.33,2058,507.41,4.04,3.89,92.61,1059722.778333333,-1.5,78.4,Good,3,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-03-01,OUT-002,Surat Citylight,Surat,West,1058547.7,1085280.0,1044247.64,2504,422.74,4.05,3.34,87.9,1032448.275,2.5,75.2,Good,5,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-002,Surat Citylight,Surat,West,1049352.09,1095920.0,1058547.7,2289,458.43,4.14,2.79,88.66,1011028.585,3.8,74.6,Good,7,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-002,Surat Citylight,Surat,West,1036100.94,1106560.0,1049352.09,2090,495.74,4.15,2.93,92.4,1011876.3466666668,2.4,74.2,Good,10,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-06-01,OUT-002,Surat Citylight,Surat,West,1030351.02,1117200.0,1036100.94,2297,448.56,4.33,2.78,95.34,1044805.1466666666,-1.4,75.5,Good,7,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-07-01,OUT-002,Surat Citylight,Surat,West,1201266.5,1127840.0,1030351.02,2624,457.8,3.95,2.41,90.34,1122480.086666667,7.0,86.3,Excellent,2,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-08-01,OUT-002,Surat Citylight,Surat,West,1238956.75,1138480.0,1201266.5,2553,485.29,4.25,2.9,88.87,1151947.725,7.6,80.7,Good,2,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-01-01,OUT-003,Vadodara Alkapuri,Vadodara,West,1016469.69,1007000.0,1016469.69,2040,498.27,4.08,3.62,89.99,1028549.0283333332,-1.2,75.6,Good,6,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-02-01,OUT-003,Vadodara Alkapuri,Vadodara,West,1049560.57,1017070.0,1016469.69,2294,457.52,4.19,3.41,85.61,1059722.778333333,-1.0,77.9,Good,4,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-03-01,OUT-003,Vadodara Alkapuri,Vadodara,West,976985.26,1027140.0,1049560.57,2221,439.89,4.2,3.33,90.64,1032448.275,-5.4,71.4,Good,9,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-003,Vadodara Alkapuri,Vadodara,West,987021.76,1037210.0,976985.26,1960,503.58,4.24,2.72,85.76,1011028.585,-2.4,75.4,Good,6,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-003,Vadodara Alkapuri,Vadodara,West,999530.44,1047280.0,987021.76,2373,421.21,4.11,3.13,87.01,1011876.3466666668,-1.2,74.8,Good,9,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-06-01,OUT-003,Vadodara Alkapuri,Vadodara,West,963988.19,1057350.0,999530.44,2183,441.59,4.26,3.65,90.44,1044805.1466666666,-7.7,71.8,Good,9,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-07-01,OUT-003,Vadodara Alkapuri,Vadodara,West,1085762.71,1067420.0,963988.19,2434,446.08,4.12,2.98,88.49,1122480.086666667,-3.3,82.8,Good,3,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-08-01,OUT-003,Vadodara Alkapuri,Vadodara,West,1111893.15,1077490.0,1085762.71,2230,498.61,3.84,4.0,91.66,1151947.725,-3.5,76.4,Good,6,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-01-01,OUT-004,Rajkot Kalawad,Rajkot,West,860312.11,893000.0,860312.11,1987,432.97,4.05,3.03,86.81,1028549.0283333332,-16.4,74.3,Good,8,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-02-01,OUT-004,Rajkot Kalawad,Rajkot,West,851718.66,901930.0,860312.11,1796,474.23,4.36,3.94,87.35,1059722.778333333,-19.6,73.6,Good,10,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-03-01,OUT-004,Rajkot Kalawad,Rajkot,West,868206.34,910860.0,851718.66,1732,501.27,3.92,3.34,89.49,1032448.275,-15.9,74.5,Good,6,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-004,Rajkot Kalawad,Rajkot,West,811463.91,919790.0,868206.34,1714,473.43,3.86,3.76,87.22,1011028.585,-19.7,67.2,Needs Improvement,10,Medium,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-004,Rajkot Kalawad,Rajkot,West,812551.81,928720.0,811463.91,1731,469.41,4.04,2.87,87.93,1011876.3466666668,-19.7,72.1,Good,11,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-06-01,OUT-004,Rajkot Kalawad,Rajkot,West,916163.91,937650.0,812551.81,2147,426.72,4.28,3.96,87.68,1044805.1466666666,-12.3,81.2,Good,2,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-07-01,OUT-004,Rajkot Kalawad,Rajkot,West,871956.43,946580.0,916163.91,1879,464.05,4.07,2.96,92.84,1122480.086666667,-22.3,71.7,Good,9,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-08-01,OUT-004,Rajkot Kalawad,Rajkot,West,885005.83,955510.0,871956.43,1937,456.9,4.04,3.15,88.42,1151947.725,-23.2,74.0,Good,8,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-01-01,OUT-005,Mumbai Andheri,Mumbai,West,1185407.29,1068750.0,1185407.29,2595,456.8,4.85,1.44,96.4,1028549.0283333332,15.3,84.8,Good,1,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
