Outlet_ID,Outlet_Name,Month,Product_Category,Product_Type,SKU_ID,Closing_Stock_Units,Safety_Stock_Units,Reorder_Point_Units,Demand_Forecast_Next_Month_Units,Stock_Status,Replenishment_Required,Recommended_Replenishment_Units,Stock_Availability_%,Inventory_Turnover_Ratio,Wastage_Units,Freshness_Rate_%,Shelf_Life_Days,Agent_Action,Agent_Priority,Agent_Explanation
OUT0365,Franchise Outlet 0365,2025-10,Seasonal Products,Seasonal,SKU-0365-05,38,191,276,636.0,Critical,Yes,789,6.0,39.84,11,98.4,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0146,Franchise Outlet 0146,2026-04,Food & Beverage,Perishable,SKU-0146-01,537,682,1668,2275.0,Critical,Yes,2420,23.6,15.38,84,95.9,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0604,Franchise Outlet 0604,2026-03,Personal Care,Non-Perishable,SKU-0604-04,539,1259,1819,4196.666666666667,Critical,Yes,4917,12.8,33.81,11,99.7,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0651,Franchise Outlet 0651,2023-03,Food & Beverage,Perishable,SKU-0651-01,385,490,925,1633.0,Critical,Yes,1738,23.6,21.81,46,97.4,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0431,Franchise Outlet 0431,2024-05,Food & Beverage,Perishable,SKU-0431-01,60,400,578,1332.666666666667,Critical,Yes,1673,4.5,36.08,52,96.0,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0407,Franchise Outlet 0407,2024-03,Packaged Goods,Non-Perishable,SKU-0407-02,283,316,597,1054.666666666667,Critical,Yes,1088,26.8,23.33,6,99.4,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0118,Franchise Outlet 0118,2026-01,Beverages,Perishable,SKU-0118-03,158,724,1046,2412.065333333333,Critical,Yes,2978,6.6,40.79,64,97.5,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0458,Franchise Outlet 0458,2025-07,Beverages,Perishable,SKU-0458-03,294,321,678,1071.0,Critical,Yes,1098,27.5,25.4,30,97.4,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0628,Franchise Outlet 0628,2023-02,Beverages,Perishable,SKU-0628-03,29,98,174,327.0,Critical,Yes,396,8.9,38.64,15,95.8,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0585,Franchise Outlet 0585,2023-05,Seasonal Products,Seasonal,SKU-0585-05,223,259,460,863.0,Critical,Yes,899,25.8,18.51,15,98.0,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0279,Franchise Outlet 0279,2025-11,Personal Care,Non-Perishable,SKU-0279-04,287,502,670,1675.0,Critical,Yes,1890,17.1,28.47,22,98.8,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
