Outlet_ID,Outlet_Name,Avg_Employees,Avg_Employee_Turnover,Avg_Customer_Satisfaction,Total_Complaints,Staff_Status,Insight,Recommendation
OUT0001,Franchise Outlet 0001,20.0,7.54,3.26,991.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0002,Franchise Outlet 0002,22.0,8.51,3.45,866.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0003,Franchise Outlet 0003,8.0,5.26,4.09,687.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0004,Franchise Outlet 0004,20.0,6.62,3.84,722.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0005,Franchise Outlet 0005,17.0,9.12,3.04,1005.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0006,Franchise Outlet 0006,18.0,9.43,2.98,1091.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0007,Franchise Outlet 0007,12.0,5.46,4.13,725.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0008,Franchise Outlet 0008,25.0,7.9,3.35,934.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0009,Franchise Outlet 0009,23.0,6.92,3.7,773.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0010,Franchise Outlet 0010,23.0,7.31,3.83,745.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0011,Franchise Outlet 0011,24.0,8.56,3.14,1035.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0012,Franchise Outlet 0012,4.0,7.16,3.79,742.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0013,Franchise Outlet 0013,11.0,7.24,3.84,771.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0014,Franchise Outlet 0014,22.0,7.32,3.63,810.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0015,Franchise Outlet 0015,13.0,8.24,3.14,1054.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0016,Franchise Outlet 0016,22.0,6.69,4.06,683.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0017,Franchise Outlet 0017,21.0,7.28,3.43,895.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0018,Franchise Outlet 0018,15.0,6.29,4.1,712.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0019,Franchise Outlet 0019,22.0,7.14,3.64,798.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0020,Franchise Outlet 0020,21.0,9.86,2.78,1307.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0021,Franchise Outlet 0021,21.0,5.75,4.24,644.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0022,Franchise Outlet 0022,19.0,9.8,2.89,1240.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
